NATIONAL DATA BANK VERSION 8.2 ,,,,,,,,06/05/2019,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2018,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0803701 CO EBT EAGLE CO DSS,110,,968,,1078,,60,,486,,546,,136429
0803901 CO EBT ELBERT CO DSS,51,,887,,938,,30,,384,,414,,122244
0804101 CO EBT EL PASO CO DSS,6184,,57774,,63958,,3070,,28288,,31358,,8061248
0804301 CO EBT FREMONT CO DSS,779,,5933,,6712,,435,,3107,,3542,,786161
0804501 CO EBT GARFIELD CO DSS,215,,3018,,3233,,160,,1489,,1649,,380532
0804701 CO EBT GILPIN,36,,340,,376,,21,,184,,205,,45729
0804901 CO EBT GRAND,23,,346,,369,,13,,187,,200,,39415
0805101 CO EBT GUNN HINSDALE CO DSS,86,,738,,824,,50,,422,,472,,105384
0805301 CO EBT HINSDALE,5,,28,,33,,1,,16,,17,,4262
0805501 CO EBT HUERFANO CO DSS,173,,1479,,1652,,115,,869,,984,,201725
0805701 CO EBT JACKSON,9,,79,,88,,5,,42,,47,,10004
0805901 CO EBT JEFFERSON CO DSS,2949,,24932,,27881,,1793,,12548,,14341,,3490730
0806101 CO EBT KIOWA CO DSS,14,,136,,150,,8,,67,,75,,14242
0806301 CO EBT KIT CARSON CO DSS,80,,701,,781,,36,,302,,338,,90666
0806501 CO EBT LAKE CO DSS,47,,430,,477,,21,,234,,255,,62341
0806701 CO EBT LA PLATA CO DSS,469,,3177,,3646,,276,,1627,,1903,,442686
0806901 CO EBT LARIMER CO DSS,2465,,18691,,21156,,1321,,9475,,10796,,2628620
0807101 CO EBT LAS ANIMAS CO DSS,403,,2573,,2976,,246,,1481,,1727,,372380
0807301 CO EBT LINCOLN CO DSS,18,,489,,507,,13,,228,,241,,51598
0807501 CO EBT LOGAN CO DSS,158,,1934,,2092,,110,,974,,1084,,227249
0807701 CO EBT MESA CO DSS,1823,,15659,,17482,,1004,,7812,,8816,,2096080
0807901 CO EBT MINERAL,4,,24,,28,,4,,15,,19,,2932
0808101 CO EBT MOFFAT CO DSS,119,,1209,,1328,,61,,609,,670,,169322
0808301 CO EBT MONTEZUMA CO DSS,324,,4161,,4485,,205,,1878,,2083,,540349
0808501 CO EBT MONTROSE CO DSS,337,,4177,,4514,,239,,2112,,2351,,499006
0808701 CO EBT MORGAN CO DSS,416,,2239,,2655,,183,,961,,1144,,308607
0808901 CO EBT OTERO CO DSS,497,,3610,,4107,,314,,1679,,1993,,443074
0809101 CO EBT OURAY CO DSS,17,,152,,169,,17,,94,,111,,19498
0809301 CO EBT PARK CO DSS,81,,1021,,1102,,60,,528,,588,,139202
0809501 CO EBT PHILLIPS CO DSS,39,,331,,370,,23,,154,,177,,36781
0809701 CO EBT PITKIN,12,,244,,256,,11,,181,,192,,34620
0809901 CO EBT PROWERS CO DSS,375,,1859,,2234,,195,,873,,1068,,254007
