NATIONAL DATA BANK VERSION 8.2,,,,,,,,08/05/2020,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0608103 CA EBT SAN MATEO COUNTY DSS,3044,,17473,,20517,,2113,,9935,,12048,,2522199
0608304 CA EBT SANTA BARBARA CO DSW,6890,,33647,,40537,,3516,,18771,,22287,,5216485
0608502 CA EBT SANTA CLARA COUNTY DSS,19647,,62690,,82337,,13427,,35810,,49237,,9927676
0608702 CA EBT SANTA CRUZ CO DSW,3527,,20643,,24170,,2126,,12958,,15084,,3227825
0608901 CA EBT SHASTA CO DSW,5131,,18729,,23860,,3354,,10591,,13945,,2682200
0609101 CA EBT SIERRA CO HUMAN SVCS,30,,227,,257,,17,,145,,162,,29024
0609301 CA EBT SISKIYOU CO DSW,1523,,5499,,7022,,916,,2886,,3802,,808863
0609502 CA EBT SOLANO CO DSW,7573,,30080,,37653,,4518,,16979,,21497,,4717514
0609701 CA EBT SONOMA CO DSW,4621,,21991,,26612,,2863,,13543,,16406,,3182325
0609902 CA EBT STANISLAUS CO. DSS,15685,,57730,,73415,,8259,,29572,,37831,,8770914
0610101 CA EBT SUTTER CO WELF DEPT,2353,,9033,,11386,,1197,,4234,,5431,,1355387
0610301 CA EBT TEHAMA CO DSW,2114,,7692,,9806,,1267,,3799,,5066,,1093545
0610501 CA EBT TRINITY CO DSW,290,,1408,,1698,,211,,836,,1047,,216001
0610704 CA EBT TULARE COUNTY DSS,22894,,90357,,113251,,9850,,40230,,50080,,14038244
0610901 CA EBT TUOLUMNE CO WELF DEPT,889,,3919,,4808,,621,,2459,,3080,,562994
0611101 CA EBT VENTURA CO.,8975,,54188,,63163,,5246,,28903,,34149,,7802905
0611301 CA EBT YOLO CO DSW,3076,,16514,,19590,,1797,,10251,,12048,,2510208
0611501 CA EBT YUBA CO WELFARE DEPT,3075,,10841,,13916,,1645,,5354,,6999,,1619505
0800301 CO EBT ALAMOSA CO DSS,599,,3498,,4097,,333,,1986,,2319,,495281
0800701 CO EBT ARCHULETA CO DSS,110,,1036,,1146,,60,,514,,574,,122322
0800901 CO EBT BACA CO DSS,66,,527,,593,,40,,246,,286,,61655
0801101 CO EBT BENT CO DSS,119,,780,,899,,70,,424,,494,,97536
0801301 CO EBT BOULDER CO DSS,1810,,12599,,14409,,1081,,7078,,8159,,1718852
0801501 CO EBT CHAFFEE CO DSS,131,,1239,,1370,,88,,744,,832,,156151
0801701 CO EBT CHEYENNE CO DSS,11,,166,,177,,7,,74,,81,,18523
0801901 CO EBT CLEAR CREEK,37,,393,,430,,30,,265,,295,,51639
0802101 CO EBT CONEJOS CO DSS,247,,1150,,1397,,133,,609,,742,,152274
